EmployeeID,City,TenureYears,PerformanceRating
1,Mumbai,2,Low
2,Mumbai,5,Medium
3,Mumbai,8,High
4,Mumbai,3,Low
5,Mumbai,12,High
6,Mumbai,1,Low
7,Mumbai,6,Medium
8,Mumbai,9,High
9,Delhi,4,Low
10,Delhi,7,Medium
11,Delhi,15,High
12,Delhi,1,Low
13,Delhi,3,Medium
14,Delhi,11,High
15,Delhi,2,Low
16,Bangalore,6,Medium
17,Bangalore,10,High
18,Bangalore,2,Low
19,Bangalore,4,Medium
20,Bangalore,14,High
21,Bangalore,1,Low
22,Bangalore,5,Medium
23,Bangalore,8,High
24,Chennai,3,Low
25,Chennai,6,Medium
26,Chennai,13,High
27,Chennai,1,Low
28,Chennai,4,Medium
29,Chennai,7,High
