Team,Points,Wins,Losses,Runs_Scored,Wickets_Taken,Batting_Strike_Rate,Bowling_Economy,Catch_Efficiency_Pct,Norm_Runs,Norm_Wickets,Norm_StrikeRate,Norm_Economy,Norm_Catch
Tigers,22,11,3,2450,85,152.4,7.2,92.5,100.0,100.0,100.0,89.7,100.0
Lions,18,9,5,2200,78,145.1,7.5,88.0,78.3,84.4,77.5,79.3,80.0
Eagles,16,8,6,2100,72,140.3,7.8,85.5,69.6,71.1,62.7,69.0,68.9
Sharks,14,7,7,1950,80,138.7,6.9,90.0,56.5,88.9,57.7,100.0,88.9
Panthers,12,6,8,1850,65,135.2,8.1,82.0,47.8,55.6,46.9,58.6,53.3
Bears,10,5,9,1700,60,130.5,8.5,80.5,34.8,44.4,32.4,44.8,46.7
Wolves,8,4,10,1600,55,128.9,8.8,78.0,26.1,33.3,27.5,34.5,35.6
Falcons,6,3,11,1500,50,125.0,9.1,75.0,17.4,22.2,15.4,24.1,22.2
Rhinos,4,2,12,1400,45,122.3,9.5,72.5,8.7,11.1,7.1,10.3,11.1
Bulls,2,1,13,1300,40,120.0,9.8,70.0,0.0,0.0,0.0,0.0,0.0
